id,score,rank
228,30.239999999999995,96
230,0,113
232,42.41611388323432,89
276,127.23082120192325,45
315,93.43755539875431,63
339,10.079999999999998,104
341,136.35188286972246,37
476,0,113
477,147.5688013186057,34
479,127.2782966250847,44
486,565.0263066723905,1
488,41.37735167999999,90
490,73.14148687228652,72
492,134.74960670898707,39
494,47.80608131428975,86
495,76.59239627629279,71
496,26.853119999999997,98
505,179.8125177808798,29
511,58.791936347161794,81
512,128.96633203592623,43
513,68.23047168,77
518,10.079999999999998,104
519,37.46539275844931,91
520,2.8000000000000025,112
527,0,113
534,447.79839152173616,4
535,0.0,113
536,33.54624,93
542,348.8513292628354,6
544,189.92718336,25
546,66.92944870738393,78
547,97.01876873163525,62
570,52.021648370477074,84
580,26.853119999999997,98
581,160.6198226855281,33
582,71.42164638053647,74
583,10.079999999999998,104
585,130.09066383180695,42
642,260.7111741499875,13
644,15.660400000000017,102
650,126.09499902925276,47
654,52.42785729350978,83
655,185.3865870728942,27
656,20.159999999999997,100
658,5.580400000000019,110
661,286.30961231649127,11
662,34.24832151552,92
665,201.87157271511998,22
668,87.01625500914018,68
672,49.90432415230041,85
673,57.09311999999999,82
705,47.013119999999994,88
720,102.86029951959998,58
760,0,113
768,13.80536720472283,103
796,60.225117166305274,80
797,390.1545126708042,5
799,5.580400000000019,110
800,212.71034855838784,16
801,10.079999999999998,104
802,105.16359168,56
803,0.0,113
805,215.217206738332,15
806,201.88802102698293,21
807,311.5301628412835,8
809,187.3940515657371,26
811,180.6326379909776,28
812,209.8126318773453,20
813,173.806839933123,31
1001,126.98559999999998,46
1002,146.84812818490443,35
1003,8.341337199999987,109
1004,88.29204463273163,67
1008,210.24147855913148,18
1009,31.9388163471618,94
1012,101.66164638053647,59
1013,211.87340525641648,17
1015,121.67196172236972,51
1016,103.70591362439035,57
1018,0,113
1019,122.14311734782041,50
1020,68.7627444384493,76
1021,97.45426400030254,61
1022,170.70744151552003,32
1026,0,113
1027,343.6922294557526,7
1028,235.64410901513958,14
1029,0,113
1030,125.79406335999998,48
1032,117.7128760951162,52
1033,130.1319854044384,41
1036,130.23400548630525,40
1037,71.18144151551999,75
1040,110.57832897350977,55
1042,141.34141396378052,36
1043,16.508729634289754,101
1046,81.59892463273164,69
1047,10.079999999999998,104
1048,194.05160712319355,23
1050,0,113
1052,209.85507892891843,19
1053,76.86679912602985,70
1054,111.08050400030254,54
1055,111.23705114980973,53
1057,89.26538406901962,65
1059,73.02284293968381,73
1061,31.242947839599996,95
1062,0.0,113
30016,29.744324152300415,97
30035,47.12832151552,87
30038,304.72408439194123,9
30039,179.72717416981942,30
30040,495.8226757279768,3
30041,135.4202222924552,38
30045,123.59771782825163,49
30046,512.9074702224425,2
30048,193.01418296670684,24
30050,279.5024057604579,12
30053,99.52782335999999,60
30055,88.96618796290669,66
30056,89.39341951959999,64
30058,292.48229787412566,10
30063,65.14976108605168,79