id,validness
228,valid
230,valid
232,valid
273,too small data
276,valid
315,valid
339,valid
341,valid
342,too small data
476,valid
477,valid
479,valid
486,valid
488,valid
490,valid
492,valid
494,valid
495,valid
496,valid
504,too small data
505,valid
509,too small data
511,valid
512,valid
513,valid
518,valid
519,valid
520,valid
527,valid
530,too small data
532,too small data
534,valid
535,valid
536,valid
537,too small data
538,too small data
540,too small data
542,valid
544,valid
546,valid
547,valid
552,too small data
570,valid
574,too small data
580,valid
581,valid
582,valid
583,valid
585,valid
633,too small data
635,too small data
636,too small data
642,valid
644,valid
650,valid
653,too small data
654,valid
655,valid
656,valid
658,valid
661,valid
662,valid
664,too small data
665,valid
667,too small data
668,valid
672,valid
673,valid
705,valid
720,valid
732,too small data
760,valid
768,valid
796,valid
797,valid
799,valid
800,valid
801,valid
802,valid
803,valid
804,too small data
805,valid
806,valid
807,valid
808,too small data
809,valid
811,valid
812,valid
813,valid
1001,valid
1002,valid
1003,valid
1004,valid
1008,valid
1009,valid
1011,too small data
1012,valid
1013,valid
1015,valid
1016,valid
1018,valid
1019,valid
1020,valid
1021,valid
1022,valid
1026,valid
1027,valid
1028,valid
1029,valid
1030,valid
1032,valid
1033,valid
1034,too small data
1036,valid
1037,valid
1039,too small data
1040,valid
1042,valid
1043,valid
1045,too small data
1046,valid
1047,valid
1048,valid
1050,valid
1052,valid
1053,valid
1054,valid
1055,valid
1056,too small data
1057,valid
1059,valid
1061,valid
1062,valid
30016,valid
30035,valid
30038,valid
30039,valid
30040,valid
30041,valid
30043,too small data
30044,too small data
30045,valid
30046,valid
30047,too small data
30048,valid
30049,too small data
30050,valid
30052,too small data
30053,valid
30055,valid
30056,valid
30058,valid
30059,too small data
30061,too small data
30062,too small data
30063,valid
30064,invalid
30066,invalid
30067,invalid
30069,invalid
30070,invalid
30071,invalid
30072,invalid
30073,invalid
30074,invalid
30075,invalid
30076,invalid
30077,invalid
30078,invalid
30079,invalid