id,validness,response1,response2,response3,total1,percentage1,total2,percentage2,total3,percentage3
228,1,0,0,0,7,0.0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0
232,1,11,1,0,270,4.074074074074074,9,11.11111111111111,0,0
276,1,13,6,0,168,7.738095238095238,9,66.66666666666666,0,0
315,1,7,3,2,132,5.303030303030303,5,60.0,2,100.0
339,1,0,0,0,9,0.0,0,0,0,0
341,1,34,15,5,401,8.478802992518704,27,55.55555555555556,9,55.55555555555556
476,0,0,0,0,0,0,0,0,0,0
477,1,8,2,1,99,8.080808080808081,5,40.0,2,50.0
479,1,21,7,1,297,7.07070707070707,14,50.0,2,50.0
486,1,69,23,5,339,20.353982300884958,50,46.0,10,50.0
488,1,0,0,0,17,0.0,0,0,0,0
490,1,6,0,0,354,1.694915254237288,5,0.0,0,0
492,1,6,2,0,27,22.22222222222222,5,40.0,0,0
494,1,5,1,0,85,5.88235294117647,2,50.0,0,0
495,0,0,0,0,0,0,0,0,0,0
496,1,0,0,0,11,0.0,0,0,0,0
505,1,17,2,1,234,7.264957264957266,12,16.666666666666664,1,100.0
511,1,5,2,1,35,14.285714285714285,5,40.0,1,100.0
512,1,11,4,1,339,3.2448377581120944,8,50.0,2,50.0
513,1,0,0,0,24,0.0,0,0,0,0
518,1,0,0,0,35,0.0,0,0,0,0
519,1,12,2,0,149,8.053691275167784,7,28.57142857142857,0,0
520,1,1,0,0,102,0.9803921568627451,1,0.0,0,0
527,0,0,0,0,0,0,0,0,0,0
534,1,102,41,10,380,26.842105263157894,67,61.19402985074627,12,83.33333333333334
535,1,0,0,0,43,0.0,0,0,0,0
536,1,0,0,0,13,0.0,0,0,0,0
542,1,43,14,8,164,26.21951219512195,27,51.85185185185185,11,72.72727272727273
544,1,0,0,0,254,0.0,0,0,0,0
546,1,0,0,0,108,0.0,0,0,0,0
547,1,0,0,0,19,0.0,0,0,0,0
570,1,2,0,0,46,4.3478260869565215,0,0,0,0
580,0,0,0,0,0,0,0,0,0,0
581,1,0,0,0,652,0.0,0,0,0,0
582,1,21,6,1,192,10.9375,13,46.15384615384615,1,100.0
583,0,0,0,0,0,0,0,0,0,0
585,1,43,9,4,509,8.447937131630647,29,31.03448275862069,7,57.14285714285714
642,1,0,0,0,22,0.0,0,0,0,0
644,1,2,0,0,191,1.0471204188481675,2,0.0,0,0
650,1,26,12,1,218,11.926605504587156,21,57.14285714285714,2,50.0
654,1,16,4,0,165,9.696969696969697,11,36.36363636363637,1,0.0
655,1,0,0,0,46,0.0,0,0,0,0
656,0,0,0,0,0,0,0,0,0,0
658,1,2,0,0,68,2.941176470588235,0,0,0,0
661,1,1,0,0,161,0.6211180124223602,1,0.0,0,0
662,1,0,0,0,48,0.0,0,0,0,0
665,1,3,1,0,190,1.5789473684210527,2,50.0,0,0
668,1,9,4,2,276,3.260869565217391,6,66.66666666666666,3,66.66666666666666
672,1,11,0,0,317,3.4700315457413247,8,0.0,0,0
673,1,0,0,0,54,0.0,0,0,0,0
705,1,0,0,0,3,0.0,0,0,0,0
720,1,3,1,0,23,13.043478260869565,2,50.0,0,0
760,0,0,0,0,0,0,0,0,0,0
768,1,5,0,0,54,9.25925925925926,2,0.0,0,0
796,1,1,0,0,59,1.694915254237288,1,0.0,0,0
797,1,153,60,22,504,30.357142857142854,97,61.855670103092784,36,61.111111111111114
799,1,2,0,0,281,0.7117437722419928,0,0,0,0
800,1,24,10,4,259,9.266409266409266,17,58.82352941176471,5,80.0
801,1,0,0,0,20,0.0,0,0,0,0
802,1,0,0,0,3,0.0,0,0,0,0
803,1,0,0,0,21,0.0,0,0,0,0
805,1,72,12,0,656,10.975609756097562,44,27.27272727272727,4,0.0
806,1,13,3,0,257,5.058365758754864,9,33.33333333333333,1,0.0
807,1,0,0,0,978,0.0,0,0,0,0
809,1,2,0,0,254,0.7874015748031495,1,0.0,0,0
811,1,56,12,5,585,9.572649572649574,40,30.0,7,71.42857142857143
812,1,2,0,0,37,5.405405405405405,2,0.0,0,0
813,1,57,9,3,716,7.960893854748603,39,23.076923076923077,7,42.857142857142854
1001,1,1,0,0,71,1.4084507042253522,1,0.0,0,0
1002,1,22,5,2,145,15.172413793103448,15,33.33333333333333,2,100.0
1003,1,3,0,0,52,5.769230769230769,2,0.0,0,0
1004,1,9,0,0,213,4.225352112676056,7,0.0,0,0
1008,1,59,10,3,765,7.712418300653595,43,23.25581395348837,5,60.0
1009,1,5,3,0,28,17.857142857142858,4,75.0,1,0.0
1012,1,21,5,2,314,6.687898089171974,14,35.714285714285715,5,40.0
1013,1,14,5,1,154,9.090909090909092,11,45.45454545454545,2,50.0
1015,1,7,0,0,51,13.725490196078432,4,0.0,0,0
1016,1,22,3,1,253,8.695652173913043,17,17.647058823529413,2,50.0
1018,0,0,0,0,0,0,0,0,0,0
1019,1,8,2,1,56,14.285714285714285,6,33.33333333333333,1,100.0
1020,1,13,1,0,204,6.372549019607843,5,20.0,1,0.0
1021,1,9,1,0,227,3.9647577092511015,7,14.285714285714285,0,0
1022,1,2,0,0,134,1.4925373134328357,1,0.0,0,0
1026,0,0,0,0,0,0,0,0,0,0
1027,0,0,0,0,0,0,0,0,0,0
1028,1,14,5,3,89,15.730337078651685,11,45.45454545454545,5,60.0
1029,0,0,0,0,0,0,0,0,0,0
1030,1,1,0,0,34,2.941176470588235,1,0.0,0,0
1032,1,10,5,1,341,2.932551319648094,9,55.55555555555556,3,33.33333333333333
1033,1,18,5,0,280,6.428571428571428,14,35.714285714285715,2,0.0
1036,0,0,0,0,0,0,0,0,0,0
1037,1,0,0,0,9,0.0,0,0,0,0
1040,1,16,3,1,387,4.1343669250646,9,33.33333333333333,1,100.0
1042,1,41,6,1,455,9.010989010989011,24,25.0,3,33.33333333333333
1043,1,4,1,1,76,5.263157894736842,2,50.0,1,100.0
1046,1,6,2,1,39,15.384615384615385,3,66.66666666666666,2,50.0
1047,0,0,0,0,0,0,0,0,0,0
1048,1,12,1,1,309,3.8834951456310676,11,9.090909090909092,1,100.0
1050,0,0,0,0,0,0,0,0,0,0
1052,1,14,6,3,110,12.727272727272727,10,60.0,4,75.0
1053,1,0,0,0,220,0.0,0,0,0,0
1054,1,5,4,1,162,3.0864197530864197,5,80.0,2,50.0
1055,1,6,0,0,319,1.8808777429467085,4,0.0,0,0
1057,1,20,6,1,441,4.535147392290249,13,46.15384615384615,2,50.0
1059,1,1,0,0,95,1.0526315789473684,1,0.0,0,0
1061,1,3,1,0,81,3.7037037037037033,3,33.33333333333333,0,0
1062,1,0,0,0,211,0.0,0,0,0,0
30016,1,8,2,1,138,5.797101449275362,5,40.0,1,100.0
30035,1,1,0,0,32,3.125,1,0.0,0,0
30038,1,52,11,2,237,21.940928270042196,30,36.666666666666664,3,66.66666666666666
30039,1,21,6,2,218,9.63302752293578,15,40.0,3,66.66666666666666
30040,1,71,16,5,700,10.142857142857142,41,39.02439024390244,10,50.0
30041,1,14,6,1,245,5.714285714285714,11,54.54545454545454,3,33.33333333333333
30045,1,9,0,0,501,1.7964071856287425,6,0.0,0,0
30046,1,100,31,10,608,16.447368421052634,73,42.465753424657535,17,58.82352941176471
30048,1,2,0,0,170,1.1764705882352942,2,0.0,0,0
30050,1,4,1,0,104,3.8461538461538463,2,50.0,1,0.0
30053,1,0,0,0,102,0.0,0,0,0,0
30055,1,0,0,0,62,0.0,0,0,0,0
30056,1,4,0,0,101,3.9603960396039604,2,0.0,0,0
30058,1,9,2,0,96,9.375,6,33.33333333333333,0,0
30063,1,13,0,0,168,7.738095238095238,10,0.0,0,0